depth_cm;density_kgm-1
17.28;590.18
17.29;590.18
17.3;590.18
17.31;590.18
17.32;590.18
17.33;590.18
17.34;590.18
17.35;590.18
17.36;590.18
17.37;590.18
17.38;590.18
17.39;590.18
17.4;590.18
17.41;590.18
17.42;590.18
17.43;590.18
17.44;590.18
17.45;590.18
17.46;590.18
17.47;590.18
17.48;590.18
17.49;590.18
17.5;590.18
17.51;590.18
17.52;590.18
17.53;590.18
17.54;590.18
17.55;590.18
17.56;590.18
17.57;590.18
17.58;590.18
17.59;590.18
17.6;590.18
17.61;590.18
17.62;590.18
17.63;590.18
17.64;590.18
17.65;590.18
17.66;590.18
