depth_m;dens;dd
8.21;466.41;0
8.22;466.41;0
8.23;466.41;0
8.24;466.41;0
8.25;466.41;0
8.26;466.41;0
8.27;466.41;0
8.28;466.41;0
8.29;466.41;0
8.3;466.41;0
8.31;466.41;0
8.32;466.41;0
8.33;466.41;0
8.34;466.41;0
8.35;466.41;0
8.36;466.41;0
8.37;466.41;0
8.38;466.41;0
8.39;466.41;0
8.4;466.41;0
8.41;466.41;0
8.42;466.41;0
8.43;466.41;0
8.44;466.41;0
8.45;466.41;0
8.46;466.41;0
8.47;466.41;0
8.48;850;100
8.49;466.41;0
8.5;466.41;0
8.51;466.41;0
8.52;850;100
8.53;850;100
8.54;850;100
8.55;850;100
8.56;850;100
8.57;850;100
8.58;850;100
8.59;466.41;0
8.6;466.41;0
8.61;466.41;0
8.62;466.41;0
8.63;466.41;0
8.64;466.41;0
8.65;466.41;0
8.66;466.41;0
8.67;466.41;0
8.68;466.41;0
8.69;466.41;0
8.7;466.41;0
8.71;466.41;0
8.72;466.41;0
8.73;466.41;0
8.74;466.41;0
8.75;466.41;0
8.76;350.23;0
8.77;350.23;0
8.78;350.23;0
8.79;850;100
8.8;850;100
8.81;350.23;0
8.82;350.23;0
8.83;350.23;0
8.84;350.23;0
8.85;350.23;0
8.86;350.23;0
8.87;850;100
8.88;850;100
8.89;350.23;0
8.9;350.23;0
8.91;350.23;0
8.92;350.23;0
8.93;350.23;0
8.94;850;100
8.95;350.23;0
8.96;350.23;0
8.97;350.23;0
8.98;350.23;0
8.99;350.23;0
9;350.23;0
9.01;850;100
9.02;850;100
9.03;850;100
9.04;512.99;0
9.05;512.99;0
9.06;512.99;0
9.07;512.99;0
9.08;512.99;0
9.09;512.99;0
9.1;512.99;0
9.11;512.99;0
9.12;512.99;0
9.13;512.99;0
9.14;512.99;0
9.15;512.99;0
9.16;512.99;0
9.17;512.99;0
9.18;512.99;0
9.19;512.99;0
9.2;512.99;0
9.21;512.99;0
9.22;512.99;0
9.23;512.99;0
9.24;512.99;0
9.25;512.99;0
9.26;512.99;0
9.27;512.99;0
9.28;512.99;0
9.29;512.99;0
9.3;512.99;0
9.31;512.99;0
9.32;512.99;0
9.33;512.99;0
9.34;512.99;0
9.35;512.99;0
9.36;512.99;0
9.37;512.99;0
9.38;512.99;0
9.39;512.99;0
9.4;512.99;0
9.41;512.99;0
9.42;512.99;0
9.43;512.99;0
9.44;512.99;0
9.45;512.99;0
9.46;512.99;0
9.47;512.99;0
9.48;512.99;0
9.49;512.99;0
9.5;512.99;0
9.51;512.99;0
9.52;512.99;0
9.53;512.99;0
9.54;512.99;0
9.55;512.99;0
9.56;512.99;0
9.57;512.99;0
9.58;512.99;0
9.59;512.99;0
9.6;512.99;0
9.61;512.99;0
9.62;850;100
9.63;850;100
9.64;850;100
9.65;512.99;0
9.66;512.99;0
9.67;512.99;0
9.68;512.99;0
9.69;512.99;0
9.7;512.99;0
9.71;512.99;0
9.72;512.99;0
9.73;512.99;0
9.74;512.99;0
9.75;512.99;0
9.76;512.99;0
9.77;512.99;0
9.78;512.99;0
9.79;512.99;0
9.8;512.99;0
9.81;512.99;0
9.82;512.99;0
9.83;512.99;0
9.84;509.17;0
9.85;509.17;0
9.86;509.17;0
9.87;509.17;0
9.88;509.17;0
9.89;509.17;0
9.9;509.17;0
9.91;509.17;0
9.92;509.17;0
9.93;509.17;0
9.94;509.17;0
9.95;509.17;0
9.96;509.17;0
9.97;509.17;0
9.98;509.17;0
9.99;850;100
10;509.17;0
10.01;509.17;0
10.02;509.17;0
10.03;850;100
10.04;509.17;0
10.05;509.17;0
10.06;509.17;0
10.07;509.17;0
10.08;509.17;0
10.09;509.17;0
10.1;509.17;0
10.11;850;100
10.12;509.17;0
10.13;509.17;0
10.14;509.17;0
10.15;509.17;0
10.16;509.17;0
10.17;509.17;0
10.18;509.17;0
10.19;509.17;0
10.2;509.17;0
10.21;509.17;0
10.22;509.17;0
10.23;509.17;0
10.24;509.17;0
10.25;509.17;0
10.26;850;100
10.27;509.17;0
10.28;509.17;0
10.29;509.17;0
10.3;509.17;0
10.31;509.17;0
10.32;509.17;0
10.33;509.17;0
10.34;850;100
10.35;509.17;0
10.36;509.17;0
10.37;509.17;0
10.38;850;100
10.39;850;100
10.4;850;100
10.41;509.17;0
10.42;509.17;0
10.43;509.17;0
10.44;509.17;0
10.45;509.17;0
10.46;509.17;0
10.47;509.17;0
10.48;509.17;0
10.49;509.17;0
10.5;509.17;0
10.51;509.17;0
10.52;509.17;0
10.53;509.17;0
10.54;509.17;0
10.55;509.17;0
10.56;509.17;0
10.57;509.17;0
10.58;509.17;0
10.59;509.17;0
10.6;509.17;0
10.61;509.17;0
10.62;509.17;0
10.63;509.17;0
10.64;509.17;0
10.65;509.17;0
10.66;509.17;0
10.67;509.17;0
10.68;509.17;0
10.69;509.17;0
10.7;509.17;0
10.71;509.17;0
10.72;509.17;0
10.73;509.17;0
10.74;509.17;0
10.75;509.17;0
10.76;509.17;0
10.77;509.17;0
10.78;509.17;0
10.79;509.17;0
10.8;509.17;0
10.81;509.17;0
10.82;509.17;0
10.83;509.17;0
10.84;509.17;0
10.85;509.17;0
10.86;509.17;0
10.87;509.17;0
10.88;509.17;0
10.89;509.17;0
10.9;509.17;0
10.91;509.17;0
